BairroId;CidadeId;Nome;NomeAbreviado;NomeFonetizado
E3A8F5A5-BD59-4FE9-BC5B-004C2ACCA44D;FB77B3B3-0225-427E-8570-161BE9693D9C;Independência;NULL;IMEPEMEMSA
244E771D-49AE-4A09-A680-004E52EEB9C0;CB2E0DA2-9C69-4EFF-8260-C7DE1B3CA0F8;São José de Alcobaça;NULL;SAO JOSE DE ARKBASA
7784A581-6521-495C-B87E-00504193C92C;C62AF4A0-AAAF-4277-A437-839F2EB0A77B;Jardim Paraíso;NULL;JARDIM PARAISO
AF6381DD-15A0-466A-A92E-0050EE9F825F;B2BDC3E8-4462-41A4-A8BB-170B2584A410;Chácara de Recreio Santo Antônio;NULL;SAKRA DE REKREIO SAMTO AMTÔMIO
1C0ED3E6-3DE5-47F1-9DB9-0050FC30E063;02E0B0C2-86BB-4A22-A59D-C6B431E1DF47;Remanso Azul;NULL;REMAMSO ASU
D77F793C-68C1-4BA9-872D-0056BB707145;6AD97C54-5462-4F0E-B79E-7E252DF0C465;Cohab-Floresta II;NULL;KAB-FRORETA I
B573B802-68DA-468C-881C-005C609674FF;2C1189C7-3553-42B8-ADF2-665059C70F3E;Vila São Jorge;NULL;VIRA SAO JOJ
1BE657EE-B217-4D93-8C1E-005E6CEEA5AD;AEE1C2A1-9EF3-4442-AD2B-674A594A05AE;Centro;NULL;SMTO
976E9757-3986-4616-98AE-005FAE3676BF;E3BAC4BA-D625-496E-943D-F35EAA192D7B;Centro;NULL;SMTO
52733058-7423-4D60-BC39-0062438524E1;6F5662D3-25E2-4032-BE16-4364BA89A11B;Aurora;NULL;AURORA
62F88BFE-C130-4BDD-9272-006649043443;32CF2EC7-C6FE-43C6-B7CE-4ED54BF9D1A5;Vila Neusa;NULL;VIRA MEUSA
5D5E2332-0C15-4E54-9C91-006782BA5B3E;7B6916EE-A2BC-4598-86E7-A364016DF132;São Pedro;NULL;SAO PEDRO
DDCB5053-F269-4768-A178-0068434AC4F5;8AC94EA5-58F9-41D6-807A-3C2468A3A1D7;Vila Dona Rosa Zurita;NULL;VIRA DOMA ROSA SURITA
4B0D9291-68BB-4A2E-8DDC-006AE443453D;4D8E149A-8901-4F92-AFB7-2B29C203FF74;Cento;NULL;SMTO
E28E5B32-DDB6-4135-B810-006BC0C03175;5C38286B-FF45-4191-9436-D8600369F306;Jardim Santa Helena;NULL;JARDIM SAMTA EREMA
A582A3B0-96C1-4A62-A5A7-006C11BD8D94;966F9100-CFE7-4D38-847B-02F7D76C2FB3;Glebas Califórnia;NULL;GEBAS KRIFORMIA
2F54B7F4-AB59-4B1B-8C10-006CE847258F;02E0B0C2-86BB-4A22-A59D-C6B431E1DF47;Jardim Santo Antônio;NULL;JARDIM SAMTO AMTÔMIO
4494A325-3389-4CA3-8807-006E856B597D;FE6A0D9E-2D74-4605-BB5B-7975E60E2A17;San Genaro;NULL;SAM JMARO
5C3EB3DD-28FF-48ED-8993-00725DC4E46C;9F8CB916-AA64-4BD6-A2C8-C3E1F8C4C7BF;Distrito Industrial;NULL;DITITO IMUTIAU
C5CA9E8B-186F-46D8-A230-00745000F86F;839CF90B-C44D-4FD6-8BB2-BE0F091C2334;Vila Nova Valinhos;NULL;VIRA MOVA VARIMO
3A601BF5-4A1B-4038-8890-0075020C2ECA;A22DBA0B-C47B-42D0-9F9C-7C43D0105A9A;Jardim Caxambu;NULL;JARDIM KSAMBU
731EFBCD-C214-4623-9A54-0075ACAD454F;9EBE86E3-708D-4B05-83FE-29B97614E589;Jardim Morumbi;NULL;JARDIM MORUMBI
E5A80523-AB47-4CEE-9467-007763C40074;8326DC6C-1AF9-4B8A-95FD-779A03F85C3D;Parque Fernão Dias;NULL;PARKUE FERMAO DIA
35E2EA51-C487-4E21-BB34-0077DCA11057;DD6E097E-DBDA-47E5-BD85-13E433899076;Santa Luzia;NULL;SAMTA RUSIA
3E17B25B-EB03-4DB2-82C9-00781ED57F2B;70C0FF30-7108-4ED3-B309-A272F345E138;Vila Terezinha;NULL;VIRA TERESIMA
D2D2C4D7-C0F7-4743-9966-007997CFD167;9552D302-CB95-40D3-8E98-9D36EDAF75CA;Centro;NULL;SMTO
